year,mes,periodo,median,mean,max,variance,sd,sex,area_m2_ha,fruits_comp,fruits_comp_p
2009,Jul,p2,NA,NA,NA,NA,NA,All,NA,NA,NA
2009,Ago,p1,NA,NA,NA,NA,NA,All,NA,NA,NA
2009,Ago,p2,NA,NA,NA,NA,NA,All,NA,NA,NA
2009,Sep,p1,NA,NA,NA,NA,NA,All,NA,NA,NA
2009,Sep,p2,NA,NA,NA,NA,NA,All,NA,NA,NA
2009,Oct,p1,NA,NA,NA,NA,NA,All,NA,NA,NA
2009,Oct,p2,NA,NA,NA,NA,NA,All,NA,NA,NA
2009,Nov,p1,NA,NA,NA,NA,NA,All,NA,NA,NA
2009,Nov,p2,NA,NA,NA,NA,NA,All,NA,NA,NA
2009,Dic,p1,NA,NA,NA,NA,NA,All,NA,NA,NA
2009,Dic,p2,NA,NA,NA,NA,NA,All,NA,NA,NA
2010,Ene,p1,NA,NA,NA,NA,NA,All,NA,NA,NA
2010,Ene,p2,NA,NA,NA,NA,NA,All,NA,90.51383399,0.90513834
2010,Feb,p1,NA,NA,NA,NA,NA,All,1.314895571,88.63309353,0.886330935
2010,Feb,p2,NA,NA,NA,NA,NA,All,0.986067731,93.38028169,0.933802817
2010,Mar,p1,NA,NA,NA,NA,NA,All,0.912015221,90.35250464,0.903525046
2010,Mar,p2,NA,NA,NA,NA,NA,All,1.00902984,88.95612708,0.889561271
2010,Abr,p1,NA,NA,NA,NA,NA,All,0.463650989,98.55072464,0.985507246
2010,Abr,p2,NA,NA,NA,NA,NA,All,0.911494319,NA,NA
2010,May,p1,NA,NA,NA,NA,NA,All,NA,NA,NA
2010,May,p2,NA,NA,NA,NA,NA,All,NA,NA,NA
2010,Jun,p1,NA,NA,NA,NA,NA,All,NA,NA,NA
2010,Jun,p2,NA,NA,NA,NA,NA,All,NA,NA,NA
2010,Jul,p1,NA,NA,NA,NA,NA,All,NA,NA,NA
2010,Jul,p2,3,3.128813559,8,3.901717975,1.975276683,All,0.212449066,69.76284585,0.697628459
2010,Ago,p1,3,4.306620209,14,16.75880217,4.093751601,All,0.224861982,67.31843575,0.673184358
2010,Ago,p2,2,2.475806452,7,2.906294894,1.704785879,All,0.124994066,56.22032289,0.562203229
2010,Sep,p1,2,2.478964401,12,6.146471651,2.479207868,All,0.168131079,45.75860397,0.45758604
2010,Sep,p2,NA,NA,NA,NA,NA,All,0.577144597,77.15846995,0.7715847
2010,Oct,p1,NA,NA,NA,NA,NA,All,0.261774887,87.71043771,0.877104377
2010,Oct,p2,2,4.06372549,9,8.247150584,2.871785261,All,0.30617221,55.48654244,0.554865424
2010,Nov,p1,6,6.348122867,11,11.14551872,3.338490486,All,0.576551562,69.16932907,0.691693291
2010,Nov,p2,8,6.834645669,11,7.980377453,2.824956186,All,0.65865807,90.95477387,0.909547739
2010,Dic,p1,3.5,3.573529412,6,2.904960492,1.704394465,All,0.968302549,81.64251208,0.816425121
2010,Dic,p2,NA,NA,NA,NA,NA,All,NA,NA,NA
2011,Ene,p1,6,4.882352941,9,7.110294118,2.666513476,All,0.489381536,88,0.88
2011,Ene,p2,3,2.735294118,6,0.884108867,0.940270635,All,0.410977814,89.10891089,0.891089109
2011,Feb,p1,7,6.806451613,13,14.69394178,3.833267768,All,0.677375816,81.14754098,0.81147541
2011,Feb,p2,6,7.043478261,15,20.49264822,4.526880628,All,0.821998056,94.78417266,0.947841727
